timestamp,type,value,rr_interval_sec
2026-03-03 10:52:59.233,SpO2,325843287320346378589610,
2026-03-03 10:52:59.234,SpO2,279517909262395716639085994,
2026-03-03 10:52:59.293,SpO2,179120175680482569580664234,
2026-03-03 10:52:59.443,SpO2,153708991929664896020469162,
2026-03-03 10:52:59.504,SpO2,127103160645809398650721706,
2026-03-03 10:52:59.594,SpO2,164603472596917676699243946,
2026-03-03 10:52:59.684,SpO2,75214167967905349683336618,
2026-03-03 10:52:59.804,SpO2,151295936951125904326612394,
2026-03-03 10:52:59.841,heartbeat,82,0.78125
2026-03-03 10:52:59.893,SpO2,194812451132515134183789994,
2026-03-03 10:53:00.013,SpO2,14677800307215997284079018,
2026-03-03 10:53:00.103,SpO2,94438459088662525528462762,
2026-03-03 10:53:00.133,SpO2,9207179171334004540793902506,
2026-03-03 10:53:00.162,SpO2,69246155756688810,
2026-03-03 10:53:00.193,SpO2,325843287320346378589610,
2026-03-03 10:53:00.194,SpO2,263678591991235118187369898,
2026-03-03 10:53:00.343,SpO2,176654822300232959136847274,
2026-03-03 10:53:00.433,SpO2,174355511100259516470482346,
2026-03-03 10:53:00.524,SpO2,54596131076825390464849322,
2026-03-03 10:53:00.643,SpO2,243141057268029557174130090,
2026-03-03 10:53:00.703,SpO2,262493370598889799929517482,
2026-03-03 10:53:00.793,SpO2,62992165122263405831345578,
2026-03-03 10:53:00.830,heartbeat,81,0.787109375
2026-03-03 10:53:00.943,SpO2,280584571404488336384939434,
2026-03-03 10:53:01.003,SpO2,227387076008850892618945962,
2026-03-03 10:53:01.093,SpO2,212984191071815285278201258,
2026-03-03 10:53:01.153,SpO2,65842935968640997641870595498,
2026-03-03 10:53:01.183,SpO2,69246155756688810,
2026-03-03 10:53:01.213,SpO2,325843287320346378589610,
2026-03-03 10:53:01.214,SpO2,47956483656378210730333610,
2026-03-03 10:53:01.303,SpO2,185145767014987387445925290,
2026-03-03 10:53:01.393,SpO2,110201922045499449807951274,
2026-03-03 10:53:01.514,SpO2,37614223272917026709919146,
2026-03-03 10:53:01.603,SpO2,212922615551871264689706410,
